Time elapsed was 175008ns or 0.000175008s,175008,0.000175008
Time elapsed was 185721ns or 0.000185721s,185721,0.000185721
Time elapsed was 169926ns or 0.000169926s,169926,0.000169926
Time elapsed was 219422ns or 0.000219422s,219422,0.000219422
Time elapsed was 179162ns or 0.000179162s,179162,0.000179162
Time elapsed was 176862ns or 0.000176862s,176862,0.000176862
Time elapsed was 174909ns or 0.000174909s,174909,0.000174909
Time elapsed was 178848ns or 0.000178848s,178848,0.000178848
Time elapsed was 183517ns or 0.000183517s,183517,0.000183517
Time elapsed was 175401ns or 0.000175401s,175401,0.000175401
Mean Time,181877.6,0.0001818776
