Time elapsed was 48ns or 0.000000048s,48,4.8E-08
Time elapsed was 205ns or 0.000000205s,205,2.05E-07
Time elapsed was 77ns or 0.000000077s,77,7.7E-08
Time elapsed was 73ns or 0.000000073s,73,7.3E-08
Time elapsed was 83ns or 0.000000083s,83,8.3E-08
Time elapsed was 91ns or 0.000000091s,91,9.1E-08
Time elapsed was 71ns or 0.000000071s,71,7.1E-08
Time elapsed was 49ns or 0.000000049s,49,4.9E-08
Time elapsed was 467ns or 0.000000467s,467,4.67E-07
Time elapsed was 66ns or 0.000000066s,66,6.6E-08
Mean Time ,123,1.23E-07
