Time elapsed was 100131356ns or 0.100131356s,100131356,0.100131356
Time elapsed was 60224486ns or 0.060224486s,60224486,0.060224486
Time elapsed was 60417826ns or 0.060417826s,60417826,0.060417826
Time elapsed was 59512064ns or 0.059512064s,59512064,0.059512064
Time elapsed was 59276340ns or 0.059276340s,59276340,0.05927634
Time elapsed was 59286844ns or 0.059286844s,59286844,0.059286844
Time elapsed was 59168513ns or 0.059168513s,59168513,0.059168513
Time elapsed was 59223761ns or  0.059168513s,59223761,0.059168513
Time elapsed was 63309201ns or 0.063309201s,63309201,0.063309201
Time elapsed was 59284082ns or 0.059284082s,59284082,0.059284082
Mean Time,63983447.3,0.0639779225
